"@timestamp",ev,el,ea,cid,"browser_name",clientip
"January 21st 2020, 00:00:07.106",8,count,"Socket reconnected","bc94dea7-4f48-4d2f-b81c-62e6be9485fc","Mobile Safari","14.177.149.237"
"January 21st 2020, 00:00:09.935",1,count,"Socket reconnected","14e2d22a-88f8-451b-be23-d89d9223aaa9",Chrome,"42.117.36.106"
"January 21st 2020, 00:00:26.445",2,count,"Socket reconnected","05b8546c-2437-482e-a7fd-361bcde9e53d",Chrome,"171.228.150.58"
"January 21st 2020, 00:00:28.333",5,count,"Socket reconnected","0db70d94-9304-4fcc-aeed-1cecc30a75eb",Chrome,"42.114.98.133"
"January 21st 2020, 00:01:48.499",2,count,"Socket reconnected","7789df0e-681d-4ad3-bb90-dba4195f08c0",Chrome,"118.70.68.152"
"January 21st 2020, 00:01:53.712",9,count,"Socket reconnected","bc94dea7-4f48-4d2f-b81c-62e6be9485fc","Mobile Safari","14.177.149.237"
"January 21st 2020, 00:02:00.543",10,count,"Socket reconnected","0a19f09c-ec06-4c91-8755-dd18605af3e0",Chrome,"14.228.135.64"
"January 21st 2020, 00:03:04.548",2,count,"Socket reconnected","93abb155-656a-49f2-900c-f0c52161e766","Mobile Safari","171.250.181.50"
"January 21st 2020, 00:03:05.462",13,count,"Socket reconnected","9cdf6047-8d88-4b14-b93d-83774fccbcca",Chrome,"113.23.44.43"
"January 21st 2020, 00:03:38.602",38,count,"Socket reconnected","a12d0919-8bfd-46c0-9821-64ebfae05246",Chrome,"118.69.230.2"
"January 21st 2020, 00:03:50.375",33,count,"Socket reconnected","28dd2700-d3e7-494d-8c3a-0176e4a61b28",Chrome,"117.2.200.124"
"January 21st 2020, 00:04:06.437",1,count,"Socket reconnected","0b31b28e-56d2-4f5f-bd47-805a9e2a4290","Chrome Mobile","1.53.15.50"
"January 21st 2020, 00:04:13.169",10,count,"Socket reconnected","bc94dea7-4f48-4d2f-b81c-62e6be9485fc","Mobile Safari","8.38.147.231"
"January 21st 2020, 00:04:32.366",1,count,"Socket reconnected","0e395de5-56ba-4a96-a56e-a69eae9adf61",Firefox,"14.162.244.106"
"January 21st 2020, 00:04:34.208",8,count,"Socket reconnected","c8daaead-bbab-48c1-959c-15bdbfe00232",Chrome,"123.26.186.39"
"January 21st 2020, 00:05:04.029",2,count,"Socket reconnected","0015347f-d860-46bf-b03a-900506b60ae9",Chrome,"14.227.30.210"
"January 21st 2020, 00:05:04.150",2,count,"Socket reconnected","0015347f-d860-46bf-b03a-900506b60ae9",Chrome,"14.227.30.210"
"January 21st 2020, 00:05:04.249",2,count,"Socket reconnected","0015347f-d860-46bf-b03a-900506b60ae9",Chrome,"14.227.30.210"
"January 21st 2020, 00:05:04.345",2,count,"Socket reconnected","0015347f-d860-46bf-b03a-900506b60ae9",Chrome,"14.227.30.210"
"January 21st 2020, 00:06:23.523",29,count,"Socket reconnected","77311ec1-ff07-4a6c-baf5-2d419562b125",Chrome,"123.16.43.106"
"January 21st 2020, 00:06:38.806",34,count,"Socket reconnected","77311ec1-ff07-4a6c-baf5-2d419562b125",Chrome,"123.16.43.106"
"January 21st 2020, 00:06:51.878",3,count,"Socket reconnected","953519b8-c9be-4d9f-a62f-74c4ddc46891",Chrome,"171.227.162.235"
"January 21st 2020, 00:07:16.060",2,count,"Socket reconnected","4025a08c-8d95-4eb0-8734-a0991323460a",Safari,"142.112.148.32"
"January 21st 2020, 00:07:22.654",11,count,"Socket reconnected","bc94dea7-4f48-4d2f-b81c-62e6be9485fc","Mobile Safari","14.177.149.237"
"January 21st 2020, 00:07:23.045",12,count,"Socket reconnected","bc94dea7-4f48-4d2f-b81c-62e6be9485fc","Mobile Safari","14.177.149.237"
"January 21st 2020, 00:07:25.890",3,count,"Socket reconnected","29891d14-497f-4595-bd41-e20448006f5a",Chrome,"116.110.68.157"
"January 21st 2020, 00:08:18.682",6,count,"Socket reconnected","9cbc55be-4659-4119-b709-31d646b94fcc",Chrome,"161.202.97.109"
"January 21st 2020, 00:08:49.638",7,count,"Socket reconnected","9cbc55be-4659-4119-b709-31d646b94fcc",Chrome,"161.202.97.109"
